count: 184
data: 4000 2e64e0 stack: 344a20 346a30 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
4d7b0 4d8f4	_Thread_Yield_processor	143	50	22	17 
4d8f4 4d9b8	_Timespec_Add_to	524	436	94	52 
4d9b8 4dab8	_Timespec_Divide	2	2	6	3 
4dab8 4db74	_Timespec_Subtract	50	48	28	12 
4dd7c 4dd98	_Chain_Tail	0	25	7	3 
4ddd4 4de10	_Chain_Is_tail	0	25	9	5 
4de10 4dea4	_User_extensions_Thread_begin	20	5	19	11 
4e138 4e150	_Chain_Head	0	25	7	2 
4e150 4e18c	_Chain_Is_head	0	25	9	4 
4e18c 4e234	_User_extensions_Thread_delete	20	5	29	15 
4e234 4e250	_Chain_Tail	0	25	3	2 
4e250 4e28c	_Chain_Is_tail	0	25	5	4 
4e28c 4e334	_User_extensions_Thread_start	20	5	16	11 
4e334 4e350	_Chain_Tail	75	144	15	6 
4e350 4e38c	_Chain_Is_tail	75	144	16	8 
4e38c 4e418	_User_extensions_Thread_switch	121	48	38	20 
4eb88 4eba4	_Chain_Tail	52	63	5	4 
4eba4 4ebe0	_Chain_Is_empty	51	56	8	7 
4ebfc 4edac	_Watchdog_Tickle	100	50	10	9 
4eec4 4eef8	_Workspace_Free	0	23	27	8 
4f0a4 4f140	_CPU_Context_switch	48	48	7	2 
4f230 4f2bc	_CPU_Context_Initialize	10	5	13	2 
4fb10 4fb2c	rtems_filesystem_default_freenode	0	7	9	8 
4fe2c 4fe50	rtems_chain_append	0	2	6	6 
4fe50 500fc	IMFS_create_node	2	2	13	12 
502f0 503fc	IMFS_Set_handlers	21	7	42	31 
503fc 50524	IMFS_evaluate_permission	32	16	36	24 
50908 50fac	IMFS_evaluate_for_make	4	2	36	34 
50fac 516c4	IMFS_eval_path	21	7	45	35 
51944 51960	_Chain_Tail	0	78	11	10 
51960 5199c	_Chain_Is_tail	0	71	11	10 
5199c 519cc	rtems_chain_is_tail	0	71	11	10 
519cc 51b5c	IMFS_find_match_in_dir	71	9	30	19 
51b5c 51d50	IMFS_get_token	0	16	34	30 
51ddc 51ebc	IMFS_check_node_remove	0	5	13	11 
51f40 51f74	rtems_filesystem_make_dev_t	0	10	9	8 
51f74 5213c	IMFS_stat	25	5	38	23 
52284 523c4	close	10	5	26	20 
523c4 523fc	_close_r	0	5	12	10 
523fc 525c4	ftruncate	2	2	19	17 
525c4 525f0	getegid	0	18	5	5 
525f0 5261c	geteuid	0	18	5	5 
5261c 52650	rtems_libio_lock	0	20	9	9 
52650 5267c	rtems_libio_unlock	0	15	28	23 
5267c 52710	rtems_libio_fcntl_flags	0	5	18	17 
52804 52944	rtems_libio_allocate	10	5	21	16 
52944 529d0	rtems_libio_free	10	5	20	14 
52a98 52b60	rtems_libio_is_file_open	23	5	21	14 
53190 53354	read	214	107	29	23 
53354 53398	_read_r	0	107	16	14 
53504 536c8	write	76	49	40	26 
53a30 53ba4	_POSIX_signals_Post_switch_extension	316	157	89	56 
54388 54444	_POSIX_Threads_Delete_extension	15	5	32	12 
54800 54828	_RTEMS_tasks_Start_extension	10	5	13	2 
54828 548a4	_RTEMS_tasks_Delete_extension	10	5	20	5 
548a4 54960	_RTEMS_tasks_Switch_extension	146	48	22	8 
54960 54a84	_RTEMS_tasks_Post_switch_extension	316	157	88	55 
54e04 54ecc	_TOD_Get_uptime	100	48	35	18 
54ecc 54ee4	_Heap_Free_list_head	0	50	23	21 
54ee4 54efc	_Heap_Free_list_tail	0	50	23	21 
54efc 54f24	_Heap_Free_list_first	0	50	26	24 
54f24 54f64	_Heap_Is_aligned	0	150	24	22 
54f9c 54fb8	_Heap_Alloc_area_of_block	0	100	45	41 
54fe8 55008	_Heap_Block_size	50	50	73	21 
55008 55038	_Heap_Is_prev_used	50	50	73	21 
55038 55064	_Heap_Protection_block_check	0	50	25	23 
55064 5515c	_Heap_Protection_free_delayed_blocks	0	50	24	22 
5515c 55530	_Heap_Check_allocation	0	50	41	39 
5575c 559f8	_Heap_Allocate_aligned_with_boundary	50	50	97	45 
559f8 55a10	_Heap_Free_list_head	0	5	7	2 
55aac 55afc	_Heap_Free_list_insert_after	5	5	14	3 
55afc 55b34	_Heap_Align_down	0	30	22	7 
55b34 55b58	_Heap_Block_at	0	31	19	8 
55b58 55b74	_Heap_Alloc_area_of_block	0	31	20	9 
55b74 55ba4	_Heap_Block_of_alloc_area	0	30	24	9 
55ba4 55bc4	_Heap_Block_size	52	52	68	14 
55bc4 55bf4	_Heap_Is_prev_used	36	36	53	9 
55bf4 55c50	_Heap_Is_block_in_heap	0	56	25	10 
55c50 55c7c	_Heap_Protection_block_check	0	56	27	12 
55ca8 55db8	_Heap_Protection_delay_block_free	62	21	63	14 
55e68 55f18	_Heap_Protection_determine_block_free	21	26	43	11 
55f18 56450	_Heap_Free	15	30	73	43 
56450 564bc	_Objects_API_maximum_class	75	154	29	10 
564bc 565cc	_Thread_Load_environment	15	5	21	5 
565e4 56600	_Chain_Tail	0	10	9	4 
56600 5663c	_Chain_Is_empty	5	5	14	4 
566fc 56828	_Thread_queue_Dequeue_fifo	0	5	13	8 
56e60 56e7c	_Chain_Tail	0	5	3	2 
56e7c 56ed8	_Chain_Append_unprotected	15	5	13	4 
56ed8 56ef8	_Priority_Bits_index	0	10	4	3 
56ef8 56f5c	_Priority_bit_map_Add	5	5	10	4 
56f5c 5709c	_Priority_bit_map_Get_highest	0	5	12	12 
5709c 570d4	_Thread_Is_executing	0	5	4	3 
570d4 57128	_Thread_Calculate_heir	5	5	7	6 
57128 57228	_Thread_Ready	10	5	26	15 
5735c 5748c	memfile_open	15	5	17	8 
5748c 574e8	memfile_close	5	5	15	11 
574e8 57540	memfile_read	214	107	13	8 
57540 575ac	memfile_write	80	18	48	40 
