count: 15f
data: 4000 2d05f0 stack: 323e58 32de68 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
3c274 3c290	_Chain_Tail	0	20	7	6 
3c290 3c2d8	_Chain_Initialize_empty	20	20	16	10 
3c2d8 3c3a4	_Thread_queue_Initialize	5	5	15	9 
3c78c 3c7a4	_Chain_Head	0	1	3	2 
3c7a4 3c7c0	_Chain_Tail	0	1	3	2 
3c7c0 3c7f4	_Chain_Has_only_one_node	8	4	8	2 
3c7f4 3c83c	_Chain_Initialize_empty	1	1	8	6 
3c83c 3c87c	_Chain_Extract_unprotected	9	3	10	2 
3c87c 3c89c	_Priority_Bits_index	0	8	7	3 
3c89c 3c920	_Priority_bit_map_Remove	2	1	7	4 
3c920 3ca60	_Priority_bit_map_Get_highest	0	4	12	12 
3ca90 3cabc	_States_Is_ready	0	4	6	2 
3cabc 3caf4	_Thread_Is_executing	0	4	7	3 
3caf4 3cb2c	_Thread_Is_heir	0	4	7	3 
3cb2c 3cb80	_Thread_Calculate_heir	4	4	8	6 
3cb80 3cd24	_Thread_Set_state	8	4	34	22 
3d138 3d1c8	_Thread_Stack_Free	8	4	19	7 
3d2a0 3d2d0	_States_Is_dormant	0	4	3	2 
3d2d0 3d38c	_Thread_Start	8	4	20	11 
3d3b8 3d51c	_Thread_Tickle_timeslice	34	17	8	5 
3d784 3d848	_Timespec_Add_to	134	280	63	35 
3d848 3d904	_Timespec_Subtract	8	4	12	4 
3db0c 3db28	_Chain_Tail	0	20	6	3 
3db64 3dba0	_Chain_Is_tail	0	20	8	5 
3dba0 3dc34	_User_extensions_Thread_begin	16	4	18	11 
3dec8 3dee0	_Chain_Head	0	20	6	2 
3dee0 3df1c	_Chain_Is_head	0	20	8	4 
3df1c 3dfc4	_User_extensions_Thread_delete	16	4	27	15 
3dfc4 3dfe0	_Chain_Tail	0	20	3	2 
3dfe0 3e01c	_Chain_Is_tail	0	20	5	4 
3e01c 3e0c4	_User_extensions_Thread_start	16	4	16	11 
3e0c4 3e0e0	_Chain_Tail	12	12	6	2 
3e0e0 3e11c	_Chain_Is_tail	12	12	8	4 
3e11c 3e1a8	_User_extensions_Thread_switch	12	4	22	12 
3e918 3e934	_Chain_Tail	17	21	5	4 
3e934 3e970	_Chain_Is_empty	17	20	8	7 
3e98c 3eb3c	_Watchdog_Tickle	34	17	10	9 
3ec54 3ec88	_Workspace_Free	0	18	23	8 
3ee34 3eed0	_CPU_Context_switch	4	4	6	2 
3efc0 3f04c	_CPU_Context_Initialize	8	4	11	2 
3f8a0 3f8bc	rtems_filesystem_default_freenode	0	7	9	8 
3fbbc 3fbe0	rtems_chain_append	0	2	6	6 
3fbe0 3fe8c	IMFS_create_node	2	2	13	12 
40080 4018c	IMFS_Set_handlers	21	7	42	31 
4018c 402b4	IMFS_evaluate_permission	32	16	36	24 
40698 40d3c	IMFS_evaluate_for_make	4	2	36	34 
40d3c 41454	IMFS_eval_path	21	7	45	35 
416d4 416f0	_Chain_Tail	0	66	11	10 
416f0 4172c	_Chain_Is_tail	0	59	11	10 
4172c 4175c	rtems_chain_is_tail	0	59	11	10 
4175c 418ec	IMFS_find_match_in_dir	59	9	29	19 
418ec 41ae0	IMFS_get_token	0	16	34	30 
41b6c 41c4c	IMFS_check_node_remove	0	5	13	11 
41cd0 41d04	rtems_filesystem_make_dev_t	0	10	9	8 
41d04 41ecc	IMFS_stat	25	5	36	23 
42014 42154	close	10	5	24	20 
42154 4218c	_close_r	0	5	12	10 
4218c 42354	ftruncate	2	2	18	17 
42354 42380	getegid	0	18	5	5 
42380 423ac	geteuid	0	18	5	5 
423ac 423e0	rtems_libio_lock	0	21	9	9 
423e0 4240c	rtems_libio_unlock	0	15	28	23 
4240c 424a0	rtems_libio_fcntl_flags	0	5	18	17 
42594 426d4	rtems_libio_allocate	10	6	21	17 
426d4 42760	rtems_libio_free	10	5	18	14 
42828 428f0	rtems_libio_is_file_open	20	5	20	14 
42f20 430e4	read	214	107	27	23 
430e4 43128	_read_r	0	107	16	14 
43294 43458	write	56	34	38	28 
437c0 43934	_POSIX_signals_Post_switch_extension	200	100	77	53 
44118 441d4	_POSIX_Threads_Delete_extension	12	4	28	12 
44590 445b8	_RTEMS_tasks_Start_extension	8	4	11	2 
445b8 44634	_RTEMS_tasks_Delete_extension	8	4	17	5 
44634 446f0	_RTEMS_tasks_Switch_extension	16	4	13	4 
446f0 44814	_RTEMS_tasks_Post_switch_extension	200	100	76	52 
