count: de
data: 4000 2d0f80 stack: 334350 336360 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
35 c[15de0,15df8) c[3b564,3b568) c[15dfc,15e20) c[3ae5c,3ae60) c[15e24,15e30) c[15e34,15e50) c[15e54,15e5c) c[15c40,15c44) c[15e60,15e68) c[15e6c,15e74) c[15e78,15e88) c[2a2e0,2a2e4) c[15e8c,15ea8) c[3b820,3b824) c[15eac,15ecc) c[21b80,21ba0) c[3aaec,3aaf4) c[3ab10,3ab38) c[3aca8,3acbc) c[3ac08,3ac10) c[3aa4c,3aa64) c[3d6d0,3d6e0) c[35c40,35c44) c[3aa68,3aa7c) c[3aae0,3aae8) c[51d00,51d04) c[3aa80,3aa88) c[3aaa0,3aaac) c[3aab8,3aad0) c[3b360,3b370) c[1b688,1b68c) c[ea688,ea690) c[ea500,ea508) c[2c2808,2c2878) c[2ce5f8,2ce668) 
39 c[15f00,15f18) c[3b564,3b568) c[15f1c,15f54) c[3bfa0,3bfa4) c[15f58,15f74) c[3b5b8,3b5bc) c[15f78,15f90) c[15f94,15fa4) c[15fa8,15fb8) c[21b80,21ba0) c[3aaec,3aaf4) c[3ab10,3ab20) c[3ac10,3ac48) c[3d624,3d638) c[3d650,3d670) c[51fc0,51fc4) c[3d674,3d67c) c[3ac50,3ac84) c[3ac9c,3aca8) c[3aa4c,3aa64) c[3d6d0,3d6e0) c[35c40,35c44) c[3aa68,3aa7c) c[3aae0,3aae8) c[51d00,51d04) c[3aa80,3aa88) c[3aaa0,3aaac) c[3aab8,3aad0) c[3b360,3b370) c[1b934,1b938) c[1b9dc,1b9e0) c[ea688,ea690) c[ea500,ea508) c[2c2808,2c2878) c[2c26a8,2c2718) c[2c2758,2c27c8) c[2ce5f8,2ce668) c[2ce498,2ce508) c[2ce548,2ce5b8) 
14 c[160a0,160b4) c[2a2e0,2a2e4) c[160b8,160d8) c[1cea0,1cea4) c[160dc,16148) c[21b80,21ba0) c[1ba84,1ba88) c[1b964,1b968) c[2c2888,2c2890) c[e7070,e7078) c[ea500,ea508) c[2c2808,2c2878) c[2ce678,2ce680) c[2ce5f8,2ce668) 
2 c[16f40,17000) c[1bb40,1bb44) 
25 c[17020,1707c) c[171a8,171cc) c[17084,171a4) c[17420,17620) c[17820,1783c) c[17840,1785c) c[17860,1787c) c[17740,1781c) c[17624,1768c) c[17690,17720) c[171d0,17284) c[17884,17894) c[178f4,17900) c[17950,179f4) c[17938,17944) c[172bc,172d0) c[172e0,172ec) c[172fc,17308) c[17318,17324) c[17334,17340) c[17350,1735c) c[1736c,17378) c[17388,17394) c[173a4,173ac) c[1bb28,1bb2c) 
30 c[17ae0,17b18) c[3c38c,3c390) c[17b1c,17fd0) c[209c0,209e0) c[28ac0,28ad0) c[28ad8,28c30) c[1dca0,1dca4) c[28c34,28cd4) c[28cf8,28cfc) c[32360,32364) c[28d00,28d30) c[22000,22020) c[28e94,28ecc) c[28eec,28ef4) c[28d40,28d44) c[28d60,28e90) c[17fd4,1859c) c[18c84,18dcc) c[185a0,18c40) c[21b80,21ba0) c[1bb50,1bb54) c[2c28b4,2c28bc) c[2c2880,2c28a0) c[2cfa68,2cfa70) c[2d03a8,2d03b8) c[2cf940,2cf948) c[2d03d0,2d03d8) c[e707c,e708c) c[ea500,ea508) c[2c2808,2c2878) 
11 c[19580,1959c) c[195a0,19610) c[1b9c8,1b9cc) c[2ce6d8,2ce6e8) c[2ce6f0,2ce700) c[2ce708,2ce718) c[2ce720,2ce730) c[2ce738,2ce748) c[2ce750,2ce760) c[2ce768,2ce778) c[2ce788,2ce790) 
86 c[19640,19680) c[3c38c,3c390) c[19684,19688) c[2a2e0,2a2e4) c[1968c,19694) c[1a598,1a710) c[19698,1a144) c[20d00,20d20) c[28ac0,28ad0) c[28ad8,28c30) c[28380,28384) c[28c34,28cd4) c[28d5c,28e90) c[28cf8,28cfc) c[32360,32364) c[28d00,28d30) c[22000,22020) c[28e94,28ecc) c[28eec,28ef4) c[28d40,28d44) c[209c0,209e0) c[1dca0,1dca4) c[1a4e8,1a55c) c[1a148,1a154) c[1a158,1a164) c[1a168,1a174) c[1a178,1a184) c[1a188,1a194) c[1a198,1a1a4) c[1a1a8,1a1b4) c[1a1b8,1a1c4) c[1a1c8,1a1d4) c[1a1d8,1a1e4) c[1a1e8,1a1f4) c[1a1f8,1a204) c[1a208,1a214) c[1a218,1a224) c[1a228,1a234) c[1a238,1a244) c[1a248,1a274) c[1a278,1a284) c[1a288,1a294) c[1a298,1a2a4) c[1a2a8,1a2b4) c[1a2b8,1a2c4) c[1a2c8,1a2d4) c[1a2d8,1a2e4) c[1a2e8,1a2f4) c[1a2f8,1a304) c[1a308,1a314) c[1a318,1a324) c[1a328,1a344) c[1a348,1a354) c[1a358,1a364) c[1a368,1a374) c[1a378,1a384) c[1a388,1a394) c[1a398,1a3a4) c[1a3a8,1a3b4) c[1a3b8,1a3c4) c[1a3c8,1a3d4) c[1a3d8,1a3e4) c[1a3e8,1a3f4) c[1a3f8,1a404) c[1a408,1a414) c[1a418,1a424) c[1a428,1a434) c[1a438,1a4b8) c[29e60,29e64) c[1a560,1a56c) c[21b80,21ba0) c[1ba20,1ba24) c[2ce6a4,2ce6ac) c[2ce690,2ce6a0) c[2ce670,2ce688) c[e707c,e7084) c[e7088,e7090) c[2cfa68,2cfa70) c[2d03a8,2d03b8) c[2cf940,2cf948) c[2d03d0,2d03d8) c[2ce2c0,2ce330) c[2ce6d8,2ce784) c[2ce788,2ce790) c[ea500,ea508) c[2ce5f8,2ce668) 
42 c[1b660,1b688) c[15de0,15de4) c[1b68c,1b6fc) c[1b700,1b718) c[1b894,1b8a4) c[1b758,1b768) c[1b7dc,1b7ec) c[1b8ac,1b8c0) c[1ba58,1ba70) c[2a2e0,2a2e4) c[1ba74,1ba84) c[160a0,160a4) c[1ba88,1baa0) c[1baa4,1bad0) c[3c38c,3c390) c[1bad4,1bb04) c[1bb44,1bb50) c[17ae0,17ae4) c[1b954,1b964) c[1b968,1b9a0) c[1ba18,1ba20) c[19640,19644) c[1bb54,1bb58) c[1bb10,1bb28) c[17020,17024) c[1bb2c,1bb40) c[16f40,16f44) c[1b924,1b93c) c[15f00,15f04) c[21b80,21ba0) c[15090,15094) c[1ba24,1ba28) c[1b9ac,1b9c8) c[19580,19584) c[1b9cc,1b9e4) c[151d0,151d4) c[529d0,529d9) c[e708c,e7094) c[15ad0,15ad8) c[52a00,52a09) c[15ac0,15ac8) c[ea500,ea508) 
2 c[1bfc0,1bfcc) c[2a2e0,2a2e4) 
