count: 12f
data: 4000 ce870 stack: 10cc38 116c48 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
2c19c 2c210	_Thread_queue_Extract_with_proxy	2	2	9	5 
2c25c 2c274	_Chain_Head	0	4	3	2 
2c274 2c290	_Chain_Tail	0	4	3	2 
2c290 2c2d8	_Chain_Initialize_empty	4	4	8	6 
2c2d8 2c3a4	_Thread_queue_Initialize	1	1	7	5 
2c78c 2c7a4	_Chain_Head	0	1	3	2 
2c7a4 2c7c0	_Chain_Tail	0	1	3	2 
2c7c0 2c7f4	_Chain_Has_only_one_node	4	2	6	2 
2c7f4 2c83c	_Chain_Initialize_empty	1	1	8	6 
2c83c 2c87c	_Chain_Extract_unprotected	3	1	6	2 
2c87c 2c89c	_Priority_Bits_index	0	4	5	3 
2c89c 2c920	_Priority_bit_map_Remove	2	1	7	4 
2c920 2ca60	_Priority_bit_map_Get_highest	0	2	12	12 
2ca90 2cabc	_States_Is_ready	0	2	4	2 
2cabc 2caf4	_Thread_Is_executing	0	2	5	3 
2caf4 2cb2c	_Thread_Is_heir	0	2	5	3 
2cb2c 2cb80	_Thread_Calculate_heir	2	2	8	6 
2cb80 2cd24	_Thread_Set_state	4	2	28	22 
2d138 2d1c8	_Thread_Stack_Free	4	2	13	7 
2d2a0 2d2d0	_States_Is_dormant	0	2	3	2 
2d2d0 2d38c	_Thread_Start	4	2	16	11 
2d3b8 2d51c	_Thread_Tickle_timeslice	36	18	6	5 
2d784 2d848	_Timespec_Add_to	125	58	27	11 
2d848 2d904	_Timespec_Subtract	4	2	8	4 
2db0c 2db28	_Chain_Tail	0	10	4	3 
2db64 2dba0	_Chain_Is_tail	0	10	6	5 
2dba0 2dc34	_User_extensions_Thread_begin	8	2	16	11 
2dec8 2dee0	_Chain_Head	0	10	4	2 
2dee0 2df1c	_Chain_Is_head	0	10	6	4 
2df1c 2dfc4	_User_extensions_Thread_delete	8	2	23	15 
2dfc4 2dfe0	_Chain_Tail	0	10	3	2 
2dfe0 2e01c	_Chain_Is_tail	0	10	5	4 
2e01c 2e0c4	_User_extensions_Thread_start	8	2	16	11 
2e0c4 2e0e0	_Chain_Tail	6	6	4	2 
2e0e0 2e11c	_Chain_Is_tail	6	6	6	4 
2e11c 2e1a8	_User_extensions_Thread_switch	6	2	18	12 
2e918 2e934	_Chain_Tail	20	34	5	4 
2e934 2e970	_Chain_Is_empty	20	33	8	7 
2e98c 2eb3c	_Watchdog_Tickle	36	18	10	9 
2ec54 2ec88	_Workspace_Free	0	8	15	8 
