count: 139
data: 4000 2624e0 stack: 2a0620 2aa630 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
3c19c 3c210	_Thread_queue_Extract_with_proxy	2	2	9	5 
3c210 3c25c	_Thread_queue_Flush	0	1	6	5 
3c25c 3c274	_Chain_Head	0	4	3	2 
3c274 3c290	_Chain_Tail	0	4	3	2 
3c290 3c2d8	_Chain_Initialize_empty	4	4	8	6 
3c2d8 3c3a4	_Thread_queue_Initialize	1	1	7	5 
3c78c 3c7a4	_Chain_Head	0	1	3	2 
3c7a4 3c7c0	_Chain_Tail	0	1	3	2 
3c7c0 3c7f4	_Chain_Has_only_one_node	4	2	6	2 
3c7f4 3c83c	_Chain_Initialize_empty	1	1	8	6 
3c83c 3c87c	_Chain_Extract_unprotected	3	1	6	2 
3c87c 3c89c	_Priority_Bits_index	0	4	5	3 
3c89c 3c920	_Priority_bit_map_Remove	2	1	7	4 
3c920 3ca60	_Priority_bit_map_Get_highest	0	2	12	12 
3ca90 3cabc	_States_Is_ready	0	2	4	2 
3cabc 3caf4	_Thread_Is_executing	0	2	5	3 
3caf4 3cb2c	_Thread_Is_heir	0	2	5	3 
3cb2c 3cb80	_Thread_Calculate_heir	2	2	8	6 
3cb80 3cd24	_Thread_Set_state	4	2	28	22 
3d138 3d1c8	_Thread_Stack_Free	4	2	13	7 
3d2a0 3d2d0	_States_Is_dormant	0	2	3	2 
3d2d0 3d38c	_Thread_Start	4	2	16	11 
3d38c 3d3b8	_States_Is_ready	23	23	3	2 
3d3b8 3d51c	_Thread_Tickle_timeslice	71	24	14	11 
3d538 3d56c	_Chain_Has_only_one_node	69	23	5	2 
3d608 3d640	_Thread_Is_heir	23	23	4	3 
3d640 3d784	_Thread_Yield_processor	46	23	13	12 
3d784 3d848	_Timespec_Add_to	161	236	27	11 
3d848 3d904	_Timespec_Subtract	4	2	8	4 
3db0c 3db28	_Chain_Tail	0	10	4	3 
3db64 3dba0	_Chain_Is_tail	0	10	6	5 
3dba0 3dc34	_User_extensions_Thread_begin	8	2	16	11 
3dec8 3dee0	_Chain_Head	0	10	4	2 
3dee0 3df1c	_Chain_Is_head	0	10	6	4 
3df1c 3dfc4	_User_extensions_Thread_delete	8	2	23	15 
