count: e5
data: 4000 c4440 stack: 102290 10c2a0 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
2d1c8 2d25c	_User_extensions_Thread_begin	8	2	16	11 
2d4f0 2d508	_Chain_Head	0	10	4	2 
2d508 2d544	_Chain_Is_head	0	10	6	4 
2d544 2d5ec	_User_extensions_Thread_delete	8	2	19	13 
2d5ec 2d608	_Chain_Tail	0	10	3	2 
2d608 2d644	_Chain_Is_tail	0	10	5	4 
2d644 2d6ec	_User_extensions_Thread_start	8	2	16	11 
2d6ec 2d708	_Chain_Tail	6	6	4	2 
2d708 2d744	_Chain_Is_tail	6	6	6	4 
2d744 2d7d0	_User_extensions_Thread_switch	6	2	18	12 
2df40 2df5c	_Chain_Tail	20	32	5	4 
2df5c 2df98	_Chain_Is_empty	20	29	8	7 
2dfb4 2e164	_Watchdog_Tickle	40	20	10	9 
2e27c 2e2b0	_Workspace_Free	0	8	15	8 
2e45c 2e4f8	_CPU_Context_switch	2	2	4	2 
2e5e8 2e674	_CPU_Context_Initialize	4	2	7	2 
3270c 328d0	write	6	6	22	18 
32c38 32dac	_POSIX_signals_Post_switch_extension	38	19	20	9 
33544 33600	_POSIX_Threads_Delete_extension	6	2	20	12 
339bc 339e4	_RTEMS_tasks_Start_extension	4	2	7	2 
339e4 33a60	_RTEMS_tasks_Delete_extension	4	2	11	5 
33a60 33b1c	_RTEMS_tasks_Switch_extension	8	2	9	4 
33b1c 33c40	_RTEMS_tasks_Post_switch_extension	38	19	19	8 
34098 34160	_TOD_Get_uptime	8	2	14	10 
34160 34178	_Heap_Free_list_head	0	6	3	2 
34178 34190	_Heap_Free_list_tail	0	6	3	2 
34190 341b8	_Heap_Free_list_first	0	6	6	5 
341f0 3420c	_Heap_Alloc_area_of_block	0	6	3	2 
34488 34698	_Heap_Allocate_aligned_with_boundary	14	6	24	16 
34698 346b0	_Heap_Free_list_head	0	5	6	2 
346b0 346f0	_Heap_Free_list_remove	7	3	12	4 
346f0 3474c	_Heap_Free_list_replace	9	3	12	3 
3474c 3479c	_Heap_Free_list_insert_after	9	5	16	4 
3479c 347d4	_Heap_Align_down	0	14	8	2 
347d4 347f8	_Heap_Block_at	0	37	11	6 
347f8 34828	_Heap_Block_of_alloc_area	0	14	10	4 
34828 34848	_Heap_Block_size	26	26	27	3 
34848 34878	_Heap_Is_prev_used	44	44	32	5 
34878 348d4	_Heap_Is_block_in_heap	0	32	12	6 
348d4 34d1c	_Heap_Free	31	14	69	46 
34d1c 34d88	_Objects_API_maximum_class	6	10	12	6 
34d88 34e98	_Thread_Load_environment	6	2	12	5 
34eb0 34ecc	_Chain_Tail	0	4	6	4 
34ecc 34f08	_Chain_Is_empty	2	2	8	4 
34fc8 350f4	_Thread_queue_Dequeue_fifo	0	2	10	8 
3572c 35748	_Chain_Tail	0	2	3	2 
35748 357a4	_Chain_Append_unprotected	6	2	10	4 
357a4 357c4	_Priority_Bits_index	0	4	4	3 
357c4 35828	_Priority_bit_map_Add	2	2	7	4 
35828 35968	_Priority_bit_map_Get_highest	0	2	12	12 
35968 359a0	_Thread_Is_executing	0	2	4	3 
359a0 359f4	_Thread_Calculate_heir	2	2	7	6 
359f4 35af4	_Thread_Ready	4	2	20	15 
378d0 379a0	device_write	6	6	14	10 
3839c 383b8	_Chain_Tail	0	4	6	4 
383b8 383f4	_Chain_Is_empty	2	2	8	4 
38434 38508	_POSIX_Threads_cancel_run	4	2	11	5 
